id,title,description,rism,date,century,century_id,provenance,provenance_detail,provenance_id,segment,summary,indexing_notes,liturgical_occasions,indexing_date,drupal_path
source_001,"Utrecht, Catharijneconvent, BMH Warm h 92 H 1","W.C.M. Wüstefeld, Middeleeuwse Boeken von het Catharijneconvent. Zwolle, Utrecht, 1993.no 31:   Missale van Alm, later van Wijk Missale Traiectense Utrecht (?) ca. 1400-20 368x284 (267x188) littera textualis",NL-Uc,1400-1420 (Wüstefeld)   [even earlier CMB],15th century (1400-1425),century_1400_1424,Almkerk,Almkerk,provenance_004,bower,,,,,http://cantus.uwaterloo.ca/source/124034
source_002,"London, British Library, Royal 8 C. XIII","Work on description. Space left for writing “neumae,” but none recorded. What was nature of source? Note the “eastern” element in the repertoire.",GB-Lbl,11th century,11th century,century_1000_1099,Normandy,Normandy?  (Hiley),provenance_113,bower,,,,,http://cantus.uwaterloo.ca/source/123805
source_003,"Paris, Bibliothèque nationale de France, lat. 1112",,F-Pnm,1201-1300,13th century,century_1200_1299,Paris,,provenance_121,cantus,,,,indexed in 2018-19 at Dalhousie U,http://cantus.uwaterloo.ca/source/676377
source_004,"Montréal, McGill University - Humanities and Social Sciences Library McLennan-Redpath, MS medieval 216 (fragment)","""One leaf, on vellum, in latin. In 12th century transitional writing. Unknown origin. Black ink, red rubrics. Two-line red ink initials. Musical notation on both sides of the fragment; musical modes on recto. 285x220 mm., writing surface 265x195 mm. One column, 28 lines of text, with notation overhead, on recto; 27 lines of text, with notation overhead, on verso. Small wormholes throughout. On the left margin of verso appears the number VIII. 
 
Contents: r. angelorum psalentes in unum ecce cuius imperii nomen est in eternum.... Alleluia Mode: P B R I Later, possibly 15th century, hand addition in 27th line: in brown ink after Dom(inica): prima post octava Epiphanie ....et psallat tibi psalmum v. dicat nomini tuo altissime.... Alleluia Late addition: Laudate Deo omnes angeli, omnes laudate eum, omnes virtutes inimicus in eo et"" 
 
(Holland, Anne Marie, compiler. ""MS Medieval 24"". Long Descriptions Ms Medieval Manuscript Antiphonals, Missals and Graduals. Digitization and Cataloguing Project- Antiphonals, Missals and Gradual. Updated December 6, 2018), 32-33.",CDN-Mlr,,15th century,century_1400_1499,,,,cantus,"Antiphonal, one bifolium from the Psalterium section, Italian, 15th century",,,,http://cantus.uwaterloo.ca/source/693727
source_005,"Wrocław, Biblioteka Uniwersytecka, Ms. R 503",,PL-WRu,1350+,14th century (2nd half),century_1350_1399,Wrocław,Wrocław,provenance_212,cantus,"Antiphoner from St. Elizabeth Church (?) in Wrocław (Poland). Gothic notation with messine influences on five-line staff. Cathedral cursus. 252 parchment folios, 48 x 33,5 cm.","The inventory for PL-WRu R 503 was prepared by Bartosz Izbicki (The Institute of Art of the Polish Academy of Sciences), with editorial assistance from Barbara Swanson (University of Waterloo).",,spring 2013; proofread in 2018;,http://cantus.uwaterloo.ca/source/123756
source_006,"München, Bayerische Staatsbibliothek, Clm 18 955","The ms is principally a collection of lives of saints.  The sequence for Januarius is a supplement to his life, along with a notated office.  Use of name and format suggest a sequentiary as probable source.  The final sequence seems to be an afterthrought.  Notation of the first sequence is carefully and competently copied.   Date of sequences’ addition to the ms is probably late 11th century, at least second half of the century.",D-Mbs,XI,11th century (2nd half),century_1050_1099,Tegernsee,Tegernsee,provenance_184,bower,,,,,http://cantus.uwaterloo.ca/source/123853
source_007,"Oxford, Bodleian Library, MS. Canon. Liturg. 202 (olim 19314)","A note written on fol. 1v in 1361 by a Tuscan priest (as transcribed by van Dijk) indicates that the book was in Lombardy by the fourteenth century:Nota quod ego presbiter Tuscanus canonicus ecclesie sancti Petri et capellanus de Sundrio accepi librum istum mutuo ab ecclesia sancti Petri. submillesimo.ccc.lxj indict.xiij.Frere&rsquo;s suggestion of a connection to the Dominican Order has not been confirmed. Contributing to the suggestion of south German provenance are the Offices of Florian and Gall. On page 309 of Young (1967), there is an edition of the text of the Easter play (beginning Quis revolvit) and on page 690, the rubric describing the ceremony of the Visitatio Sepulchri (72v-73r). The latter is also found on page 900 of Young&rsquo;s The Harrowing of Hell, along with an edition of the rubric describing of the Elevatio Crucis (71v).This manuscript contains some examples of multiple Offices or parts of Offices for individual liturgical occasions. Examples occur for the feasts of St. Stephen and St. John the Evangelist (alternate antiphons for the three nocturns of Matins are given before a complete Matins office), for the Common of Many Martyrs (an alternate set of antiphons for Lauds is given) and for the summer historia De Regum. In this last case, the first of the ferial antiphons (and by extension, probably the entire set) are indicated as an alternative under the rubric &ldquo;alio modo.&rdquo;Modes for responsories are provisional; they are being proposed according to an analysis of the neume patterns found in responsory verses and the modal designations of corresponding responsories in other sources represented in the database. This analysis has demonstrated that the standard verse tones are consistently represented within these leaves by neume patterns distinctive for each mode. Because of their provisional nature, all mode numbers for responsories in the file are followed by a question mark. Where there is any ambiguity (such as in cases where a non-standard tone is given for a verse or where the verse cannot be sufficiently read), a mode has not been assigned.",GB-Ob,1200s,13th century,century_1200_1299,Germany,Germany,provenance_060,cantus,"Antiphoner. Thirteenth century, orginally from southern Germany (?). Owned in the fourteenth century by the collegiate church of St. Peter’s in Sondrio (Lombardy). Non-diastematic neumatic notation. 152 folios (2 blank at both beginning and end); 20 lines per folio. 255 x 195 mm.

According to van Dijk, “capitals mostly in red with yellow brushstrokes, some coloured initials.”",The inventory for GB-Ob Can. Lit. 202 was prepared by Kate Helsen (Universität Regensburg) and Andrew Mitchell with editorial assistance from Andrew Mitchell and Elizabeth Sander (The University of Western Ontario).,"Ff. 001v-079v: Winter Temporale and Sanctorale. 001v, Advent; 005v, Nicholas; 007v, Lucy; 015r, Christmas; 018r, Stephen; 020v, John the Evangelist; 022v, Holy Innocents; 024r, Thomas Becket; 028r, Epiphany; 031v, Ferial Office; 036v, Fabian and Sebastian; 038r, Agnes; 040r, Purification of Mary; 042r, Agatha; 043v, Peter's Chair; 044r, Gregory; 045v, Annunciation of Mary; 047r, Septuagesima; 051r, Lent; 060r, Passion Sunday; 063r, Palm Sunday; 064v, Holy Week; 067r, Triduum.
Ff. 071v-121v: Summer Temporale and Sanctorale. 071v, Easter; 080r, Adalbert; 080v, Mark; 081r, Philip and James; 082v, Finding of the Cross; 084r, Florian; 084v, Ascension; 086v, Pentecost; 089r, Trinity; 090v, John the Baptist; 092r, John and Paul; 093r, Peter and Paul; 095r, Paul; 097r, Margaret; 098v, Mary Magdalene; 101v, Laurence; 103r, Hippolytus; 104r, Assumption; 106r, Beheading of John the Baptist; 107r, Birthday of Mary; 108v, Holy Cross; 109v, Michael the Archangel; 111v, Jerome; 111v, Remigius; 111v, Gall; 113v, All Saints; 115r, Martin; 117r, Brice; 117v, Cecilia; 119r, Clement; 119v, Andrew.
Ff. 121v-129r: Common of Saints. Ff. 129r-131r: Dedication of a Church. Ff. 131r-139v: Summer Histories. Ff. 139v-142r: Sundays after Pentecost. Ff. 142v-148v: Hymns.",23 February 2006,http://cantus.uwaterloo.ca/source/123687
source_008,"München, Bayerische Staatsbibliothek, Clm 14 322","VdS, Ed. Bd. 211-212.Hoffmann, p. 40: im zweiten Viertel des 11. Jahrhunderts",D-Mbs,"1040-50 (Bischoff, nach VdS)",11th century (1025-1050),century_1025_1049,St. Emmeram,Sankt Emmeram,provenance_172,bower,,,,,http://cantus.uwaterloo.ca/source/123822
source_009,"Dubrovnik, Franjevački Samostan (Franciscan Monastery), Cod. F Nr. 6","This manuscript is one part of a four-volume antiphoner comprised of HR-HF Cod. C, D, E, and F, written by the same scribe. This manuscript contains the last part of the Temporale, from Easter to the Summer Histories. The material in this manuscript follows that of Cod. D; the manuscripts are not numbered in liturgical order, as their connection was not recognized at the time of cataloguing.
Although now held at a Dominican monastery (in the library of the monastery of Friars Minor in Dubrovnik, Croatia), the manuscripts are of Franciscan origin, as described by Ana Čizmić, despite not including material for the feasts of St. Francis, St. Anthony of Padua, and St. Clare. A fourteenth-century antiphoner from a nearby Franciscan monastery in Ston also does not include the feasts for these saints, suggesting that this antiphoner is in concordance with the regional rite of Bosnian Franciscan Friars. An inscription in Codex C confirms that the manuscripts were used by the Franciscan friars in Dubrovnik: “TABULA OFFICIORUM HUIUS ANTIPHONARII SPECTANS AD CHORUM SANCTI FRANCISCI RAGUSII [Dubrovnik].”
A psalter, now also held in the Franjevački Samostan in Dubrovnik (Codex B Nr. 1), was written in a similar hand and bears the colophon: “Explicit psalterium secundum ritum romane ecclesie. Fratrum sancta marie gratiarum de venetiis. Ordinis obseruatine eximii doctoris sancti hieronymi, scriptum per me uenc fratrem ludouicum ferra eiusdem ordinis professum. Anno domini MCCCC nonaginta die sabb (…).” This inscription reveals the provenance of the psalter, the scribe (friar Ludovico Ferra), and year of completion (1449). While the antiphoner was not written by the same scribe, as evidenced by slight differences in majuscule letters, it likely also dates from the second half of the fifteenth century, possibly also from an Italian scriptorium.

Differentiae are identified within each mode by their last note and an arbitrarily-assigned number, e.g., G1, D2, F1, etc. Minor variations are recognized by an alphabetic suffix, e.g. G1b, A1a, F1a, etc.",HR-Hf,1450-1500,15th century (2nd half),century_1450_1499,Venice,copied in Venice for a Franciscan monastery in Dubrovnik,provenance_199,cantus,"Part of a four-volume, fifteenth-century Franciscan antiphoner, likely written at a scriptorium in Venice for use by a male Franciscan monastery in Dubrovnik. 198 folios. Varying sizes of parchment leaves. Italian-type square notation on four-line staves with C- or F-clefs. Seven staves per side.","The inventory for HR-Hf Cod. F was prepared by Ana Čizmić (University of Graz), with editorial assistance from Debra Lacoste (The University of Western Ontario). Manuscript description written by Rebecca Shaw (Dalhousie University), with editorial assistance from Debra Lacoste (University of Waterloo).","Ff. 1r-187v, Temporale: f. 1r, Easter; f 56r, Ascension Thursday; f. 69r, Pentecost; f. 87r, Trinity Sunday; f. 116r, Corpus Christi; f. 152r, Summer Histories.",inventory posted online 1 January 2009; manuscript description prepared in June 2019;,http://cantus.uwaterloo.ca/source/123722
source_010,"Bruxelles, Bibliothèque royale 2031-32",,B-Br,11th century,11th century,century_1000_1099,Stavelot,Stavelot,provenance_182,bower,,,,,http://cantus.uwaterloo.ca/source/123804
source_011,"Montréal, McGill University - Humanities and Social Sciences Library McLennan-Redpath, MS medieval 065 (fragment)","""Initial S. Italian, late 14th century, on vellum, with inks, tempera and gold leaf. 531x317 mm. One leaf, with musical notation on four-line, red ink drawn staves. The fragment is framed and glued on a board. From a Gradual. 

 
Contents Style, decoration, coloring and dimensions point to a common source with ms. 64, already described by Leesti (Liturgical Manuscripts, p. 35, no 7). Ms. 65 has been described by Farquhar-Montpetit in, Canada collects the Middle-Ages, pp. 73-74, no 77. The fragment contains part of the Introit for the Marian votive Mass from Purification to Advent: ""Salve Sancta parens, enixa puerpera Regem qui celum terramque regit..."". 
 
Decoration The large historiated initial is the first letter of the word Salve and contains the Virgin, in a blue colored mantle, protecting with it seven, white dressed, kneeling monks. Farquhar-Montpetit suggests a Cistercian origin. The figures stand on green ground while the white, scroll containing initial, lies on a square, with gold leaf contour. A two and one half quarter border occupies part of the upper, the whole left and almost the whole of the lower margin. It is foliated, containing tweesting acanthus leaves in blue, light-blue, green, red, white and yellow colors. A large number of bezants, single or in triads, with short yellow comet tails, surround the decorated borders or stem from the foliated elements of it. From a green bud, in the lower border, stems a male head, seen from the front, wearing a blue hood-like, head cover."" 
 
(Holland, Anne Marie, compiler. ""MS Medieval 65."" Long Descriptions Ms Medieval Manuscript Antiphonals, Missals and Graduals. Digitization and Cataloguing Project- Antiphonals, Missals and Gradual. Updated December 6, 2018), 16-17.",CDN-Mlr,Late 14th century,14th century,century_1300_1399,Italy,,provenance_071,cantus,"Gradual, one leaf, with initial S, historiated, the Virgin with monks",,,,http://cantus.uwaterloo.ca/source/693507
source_012,"Sydney, University of Sydney, Fisher Library, Rare Books & Special Collections, Add. Ms. 413 (olim Add. Ms. Fol.1)","Spanish-language inscriptions and annotations suggest this antiphoner’s origin and use in Spain, although no date or place of origin or use is recorded or known. Prior to arrival at the University of Sydney library in 2017, its most recent ownership was in northern Europe. 
 
The volume has been part of a set, as indicated by the Spanish inscription on the inside front cover: “Tiene los Reyes y las os Libro .3. Bisperas” (It has the Kings [Epiphany] and the Os [O antiphons] Book 3 Vespers). The book’s presentation suggests its design to follow immediately from the previous book in the set. 

The binding appears original, and the book is complete apart from the loss of one folio. Arabic numerals are employed for the foliation and are placed top right recto of each folio. This appears to be the original foliation. Gathering numbers remain visible at bottom right corner of many folios. Initials indicate hierarchy of chants with the two most important categories employing both red and blue ink; black initials often with yellow highlighting are also used. The book shows signs of use and wear, and folios have been repaired sometimes with the addition of patches taken from other manuscript pages (including some showing more modern musical notation).
 
On the middle of the verso side of the book’s final folio is a blank patch. Hidden beneath this pasted paper attachment is a colophon written in Spanish and probably dating from the time of copying of the book. The text refers to the involvement of two women in the book’s preparation. They, along with the unnamed scribe, ask to be remembered by the users of the book in their prayers.

Inventory and description by Kathleen Nelson, The University of Sydney. 
Completed September 2019.",AUS-Sfl,1550-1600,16th century (2nd half),century_1550_1599,Spain,,provenance_163,cantus,"Antiphoner. Possibly prepared for a Franciscan house in Spain. Square notation on red five-line staves. Secular cursus. 56 x 40 x 12cm. 222 folios, one lacuna. Page size approx. 51 x 37 cm. 6 staves per page, staff height approx. 44mm high. Regular gathering structure: 27 quaternions, 1 final ternion. 
(Formerly catalogued as AUS-Sfl Add.Ms.Fol.1.)","The inventory for AUS-Sfl Add. Ms. 413 was created by Kathleen Nelson (University of Sydney). Proofreading by Marina Gallagher (University of British Columbia), with editorial assistance by Debra Lacoste (University of Waterloo). 
Published September 2019.",,"2017-18; records proofread Fall 2018 (Marina Gallagher), with editing by Debra Lacoste (2019); published online 14 Sep 2019;",http://cantus.uwaterloo.ca/source/669163
source_013,"Austin, Harry Ransom Center, HRC Leaf A36","From the Ransom Center: ""1 leaf: paper, 412 x 295 mm. Written in Latin, late gothic textualis script. Layout is six long lines of text alternating with square musical notation on 4-line red staves. Decoration includes red and blue initials throughout; two black initials slightly embellished with faded yellow pen decoration; a scroll on bottom of recto bears the word ""Peregrinus,"" or ""Pilgrim.""""

Leaves HRC A36 through HRC A40 contain the entire Nicene Creed, but it is not continuous. The leaves were taken from the same 15th- or 16th-century choirbook. Donated to the Ransom Center by H. L. Williford in 1961.",US-AUS,15th-16th Century,16th century,century_1500_1599,Italy,,provenance_071,cantus,,,,,http://cantus.uwaterloo.ca/source/672574
source_014,"Paris, Bibliothèque nationale de France - Département des Manuscrits, latin 12044","F-Pnm lat. 12044 and F-Pnm lat. 12584 are both antiphoners from the Monastery of Saint-Maur-des-Fossés, which lies east of Paris, and was reformed by Cluny in the 10th century. Hesbert listed the contents of the latter manuscript in Corpus Antiphonalium Officii, where it is manuscript ""F."" The two sources have much in common but, because lat. 12044 is later, it includes material not found in the 11th-century lat. 12584. Lat. 12044 gives antiphons for the ferial Office that match those of the Cluny breviary (F-Pnm lat. 12601). Lat. 12044 contains the following Offices not found in CAO: Babolenus, Arnulfus of Metz (also found in Analecta hymnica, vol. 52, pp. 332-4), Clement (Analecta hymnica vol. 52, pp. 337-40), and Eligius. It should be noted that the Office for Maurus is imperfect: f. 39 is largely torn away, and the chants on that leaf have been reconstructed by referring to CAO. Differentiae are assigned arbitrary numbers.
	
	About the Invitatory Tones of F-Pn lat. 12044
	Invitatory tones are represented in lat. 12044 in two different ways. The first time each of them occurs in the liturgical year, its first section (""Venite exsultemus"" through ""jubilemus ei"") is written out with musical notation; when the tone appears again, it is given only as an incipit following the antiphon that is intended to introduce and alternate with it. As noted above, several pages are missing from the beginning of the book as well as in a lacuna, and this appears to be the reason certain tones are not present. These tones must have been used with antiphons sung during the first few weeks of Advent, for they are referred to by incipit later on. Among them are the tones called BL, NE, FE, and 2 in the Cantus Database. The repertory of invitatory tones known to the copyist of lat. 12044 is a fairly conservative one: MO and FE for Monday and the other days of the ferial Office, BL for antiphons of mode 2 or of mode 4, for Sundays and various feasts; NE for other, more recent feasts; CH for Christmas and Epiphany; 5 for Easter, Ascension, Pentecost, and some Sundays; 7 for Sundays in Lent, other Sundays, and one feast; PA primarily for week days in Paschal Time, also during the octave of Ascension; 2 for some mode-2 invitatory antiphons (mostly intended for saints&#39; days); and 3 for a small number of mode-3 antiphons. The one unusual feature is a tone that appeared on a page that is now damaged (f. 39r), where its incipit is no longer preserved. Fortunately the tone is given intact in the St. Denis antiphoner (F-Pnm lat. 17296, f. 346v); and this confirms that the incipit that appears nine times in lat. 12044 is in fact that of the partially missing tone. This tone is combined with one antiphon of mode 2 and others of mode 4; the occasions on which it is sung range from Babolenus to John the Evangelist, Peter and Paul, the Assumption, and the Nativity of the Virgin. Tones used with antiphons of both mode 2 and mode 4 in this source are BL, MF, and NE.",F-Pnm,1100s,12th century,century_1100_1199,St-Maur-des-Fossés,"monastery of St. Maur-des-Fossés, near Paris",provenance_167,cantus,Antiphoner from the Monastery of St. Maur-des-Fossés. Early 12th century. French notation on four black lines with F and C clefs. Monastic cursus. 241 folios. Beginning and end of manuscript missing; one lacuna.,"The inventory for F-Pnm lat. 12044 was prepared by Keith Glaeske and Denise Gallo at The Catholic University of America. Full texts were entered by Nan Zhang (Dalhousie University) and proofread by Alessandra Ignesti (McGill University). Volpiano melodies were added by Clare Neil and Nan Zhang, and proofread by Sheila Meadley Dunphy (Dalhousie University). Barbara Swanson supervised the activity of the Research Assistants and provided support. 

The manuscript description was written at CUA (prior to 1997); it was edited and updated in July 2017 by Debra Lacoste.","Ff. 1r-143r: Winter Temporale and Sanctorale. 1r-5v, Third through Fourth Sundays of Advent; lacuna; 6r, Great ""O"" Antiphons; 7v, Christmas; 12r, Stephen; 29r, Ferial Office; 38v, Maurus; 51v, Conversion of Paul; 65r, Septuagesima; 71v, Ash Wednesday; 93v, Maundy Thursday; 99v, Easter; 115v, Ascension; 118v, Pentecost; 122r, Trinity; 125r, Summer Histories; 139r, Sundays after Pentecost.
Ff. 143r-226r: Summer Sanctorale. 143r, John the Baptist; 146v, Babolenus; 154v, Paul; 161r, Arnulfus of Metz; 163v, Mary Magdalene; 170v, Laurence; 199v, All Saints; 206v, Dedication of a Church; 212r, Clement; 218v, Eligius; 224v, Translation of Babolenus.
Ff. 226r-241v: Common of Saints.",by 1997,http://cantus.uwaterloo.ca/source/123628
source_015,"Paris, Bibliothèque nationale de France - Département des Manuscrits, latin 776",,,,11th century (1050-1075),century_1050_1074,Albi,St Michel Gaillac,provenance_003,cantus,,,,2017-18 first pass;,http://cantus.uwaterloo.ca/source/666639
source_016,Paris,,,,11th century (1050-1075),century_1050_1074,Albi,St Michel Gaillac,provenance_003,cantus,,,,,http://cantus.uwaterloo.ca/source/666636
source_017,"Torino, Biblioteca nazionale G. V. 20",,I-Tn,11th c. (Brunner),11th century,century_1000_1099,Bobbio,Bobbio (Brunner),provenance_024,bower,,,,,http://cantus.uwaterloo.ca/source/123810
